images,feature,product_name
https://assets.bobcat.com/excavators/misc/r-series/bobcat-e10-nav_pm_list.jpg,"Weight: 2,593 lb.",Bobcat E10 Compact Excavator
https://assets.bobcat.com/excavators/misc/r-series/bobcat-e20-nav_pm_list.jpg,"Weight: 4,306 lb.",Bobcat E20 Compact Excavator
https://assets.bobcat.com/excavators/misc/bobcat-e26-compact-excavator-nav_pm_list.jpg,"Weight: 5,666 lb.",Bobcat E26 Compact Excavator 
https://assets.bobcat.com/excavators/misc/r-series/bobcat-e32-r-nav_pm_list.jpg,"Weight: 7,183 lb.",Bobcat E32 Compact Excavator
https://assets.bobcat.com/excavators/misc/r-series/bobcat-e35-r-nav_pm_list.jpg,"Weight: 7,909 lb.",Bobcat E35 Compact Excavator
https://assets.bobcat.com/excavators/misc/bobcat-e42-compact-excavator-nav_pm_list.jpg,"Weight: 9,246 lb.",Bobcat E42 Compact Excavator
https://assets.bobcat.com/excavators/misc/bobcat-e45-compact-excavator-nav_pm_list.jpg,"Weight: 10,077 lb.",Bobcat E45 Compact Excavator
https://assets.bobcat.com/excavators/misc/bobcat-e50-compact-excavator-nav_pm_list.jpg,"Weight: 10,677 lb.",Bobcat E50 Compact Excavator
https://assets.bobcat.com/excavators/misc/bobcat-e55-compact-excavator-nav_pm_list.jpg,"Weight: 12,313 lb.",Bobcat E55 Compact Excavator
https://assets.bobcat.com/excavators/misc/bobcat-e63-compact-excavator-nav_pm_list.jpg,"Weight: 13,779 lb.",Bobcat E63 Compact Excavator
https://assets.bobcat.com/excavators/misc/r-series/bobcat-e85-r-nav_pm_list.jpg,"Weight: 18,977 lb.",Bobcat E85 Compact Excavator
https://assets.bobcat.com/utility-vehicles/misc/bobcat-utility-vehicle-3400-nav_pm_list.jpg,"Starting at $12,699*",Bobcat 3400 Utility Vehicle
https://assets.bobcat.com/utility-vehicles/misc/bobcat-utility-vehicle-3400xl-nav_pm_list.jpg,"Starting at $14,625*",Bobcat 3400XL Utility Vehicle
https://assets.bobcat.com/utility-vehicles/misc/bobcat-utility-vehicle-3600-nav_pm_list.jpg,"Starting at $22,049*",Bobcat 3600 Utility Vehicle
https://assets.bobcat.com/utility-vehicles/misc/bobcat-utility-vehicle-3650-nav_pm_list.jpg,"Starting at $25,786*",Bobcat 3650 Utility Vehicle
https://assets.bobcat.com/images/toolcat-utility-work-machines/5600/Toolcat5600_Bucket_COB_F_pm_list.jpg,40+ Attachments,Toolcat 5600 
https://assets.bobcat.com/images/toolcat-utility-work-machines/5610/192332-toolcat5610_bucket_cob_f_pm_list.jpg,40+ Attachments and Implements,Toolcat 5610
https://assets.bobcat.com/telehandlers/misc/bobcat-v519-telehandler-navigation_pm_list.jpg,Lift Height: 230 in.,VersaHANDLER V519 Telehandler
https://assets.bobcat.com/telehandlers/misc/bobcat-v723-nav_pm_list.jpg,Lift Height: 274 in.,VersaHANDLER V723 Telehandler
https://assets.bobcat.com/skid-steer-loaders/nav/bobcat-skid-steer-loader-family-nav_pm_list.jpg,,Skid-Steer Loader Attachments
https://assets.bobcat.com/compact-track-loaders/nav/bobcat-compact-track-loader-family-nav_pm_list.jpg,,Compact Track Loader Attachments
https://assets.bobcat.com/mini-track-loaders/misc/mt85-mtl-family-nav_pm_list.jpg,,Mini Track Loader Attachments
https://assets.bobcat.com/images/excavators/e35/100591-_t6k7480_hd_fc_ko_pm_list.jpg,,Compact Excavator Attachments
https://assets.bobcat.com/images/utility-vehicles/3650/188913-3650-t6k5318-12x2-ko_pm_list.jpg,,Utility Vehicle Attachments
https://assets.bobcat.com/images/toolcat-utility-work-machines/5600/Toolcat5600_Bucket_COB_F_pm_list.jpg,,Toolcat Work Machine Attachments
https://assets.bobcat.com/telehandlers/misc/bobcat-v519-telehandler-navigation_pm_list.jpg,,Telehandler Attachments
